Capital / Estado,Nome,Encontrou regulamentação da LGPD?,"Se sim, número da regulamentação","Se sim, link da regulamentação"
Capital,Rio Branco (AC),Sim,1.196,http://portalcgm.riobranco.ac.gov.br/lai/wp-content/uploads/2015/02/DECRETO-N%C2%BA-1196-2023-SDTI-Comit%C3%AA-Gestor-de-Implanta%C3%A7%C3%A3o-da-LGBD.pdf
Capital,Distrito Federal (DF),Sim,45.771,https://dflegis.df.gov.br/ato.php?co_data=58980&p=decreto-45771-de-08-de-maio-de-2024
Capital,Macapá (AP),Sim,815,https://drive.google.com/file/d/1wtISsZkRZVH2B0unH79nCdrD9XqWAlLn/view
Capital,São Paulo (SP),Sim,59.767,https://legislacao.prefeitura.sp.gov.br/leis/decreto-59767-de-15-de-setembro-de-2020
Capital,Manaus (AM),Sim,5.621,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/1302603/2023-06-30/1c4a4ac58853c740dd731c4910b4fc62d7def73a.pdf
Capital,Palmas (TO),Sim,2.213,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/1721000/2022-06-22/209f12c82f928d7edd7760538f0815a15b26c619.pdf
Capital,Teresina (PI),Sim,22.918,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/2211001/2022-09-15/df698a8389efa677ea09ed2902283cc477419d6c.pdf
Capital,Natal (RN),Sim,12.942,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/2408102/2023-11-10/901a1a08ae2e95989866ef3d3d2d3f2ba1a308a8.pdf
Capital,Maceió (AL),Sim,9.803,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/2704302/2024-06-14/144d9168dfb1dee647fbdac4117dd054cd923d1d.pdf
Capital,Salvador (BA),Sim,35.299,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/2927408/2022-03-29/8550fdd204c5d52a71f8ddc2888a81fe2a58f872.pdf
Capital,Belo Horizonte (MG),Sim,18.608,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/3106200/2024-01-19/2cf0586f900ff293b2128686e31671fb149dbb22.pdf
Capital,Vitória (ES),Sim,20.628,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/3205309/2022-04-07/ef7823157225dcb57d3d48646a24c176a8f141d5.pdf
Capital,Rio de Janeiro (RJ),Sim,54984,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/3304557/2024-08-22/2c33f952f347e61512d7cb601028f79bfd32612a.pdf
Capital,Florianópolis (SC),Sim,25.497,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/4205407/2023-08-25/1c40ce2ac7419065a51f37fccca31bf5e9318242.pdf
Capital,Porto Alegre (RS),Sim,21.838,"https://querido-diario.nyc3.cdn.digitaloceanspaces.com/4314902/2023-01-10/096557cc6160a52377289c171a916c026880279b.pdf

https://dopaonlineupload.procempa.com.br/dopaonlineupload/4640_ce_392275_1.pdf "
Capital,Cuiabá (MT),Sim,8.617,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/5103403/2021-09-20/1ce72d35a5e46ddaaa580315957b634279367a9a.pdf
Capital,Goiania (GO),Sim,2.793,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/5208707/2025-07-02/31841be6e122907d7b2a5abe124141eaf6008a41.pdf
Capital,Boa Vista (RR),Sim,Decreto Nº 29-E DE 04/04/2024,https://queridodiario.ok.org.br/
Capital,Curitiba (PR),Sim,326,https://queridodiario.ok.org.br/
Capital,São Luís (MA),Sim,60.935,https://queridodiario.ok.org.br/
Capital,Porto Velho (RO),Sim,18.310,https://sapl.portovelho.ro.leg.br/media/sapl/public/normajuridica/2022/20081/decreto_no_18.310-2022_regulmaneta_lgpd.................................................................._proc._02.00279-2022.pdf
Capital,Fortaleza (CE),Sim,14.987,"https://transparencia-cdn.sefin.fortaleza.ce.gov.br/LEGISLACAO/BIBLIOTECA%20NORMATIVA/NORMAS%20GERAIS/DECRETOS/04%20-%20Decreto%20Municipal%20n%C2%B0%2014.987,%20de%202021%20-%20Lei%20Geral%20de%20Prote%C3%A7%C3%A3o%20de%20Dados%20no%20Munic%C3%ADpio.pdf"
Capital,Aracaju (SE),Sim,6894,https://transparencia.aracaju.se.gov.br/fundat/wp-content/uploads/secretarias/FUNDAT/LEGISLACAO/DECRETOS/Decreto%206.894%20de%2020%20de%20dezembro%20de%202022%20-%20LGPD%20%281%29.pdf
Capital,João Pessoa (PB),Sim,9.792,https://transparencia.joaopessoa.pb.gov.br:8080/leis-download?id=154
Capital,Recife (PE),Sim,35.583,https://transparencia.recife.pe.gov.br/uploads/pdf/Decreto%20Municipal%2035.583-2022%20-%20PMPD_1d9c74ad4be3ab6d0fe20f6fae30d9b8.pdf
Estado,Sergipe,Sim,41.006,http://arquivos.setc.se.gov.br/LGPD/Legislacoes/Decreto%20n%2041006%20de%2005%20de%20outubo%20de%202021.pdf
Estado,Rondônia,Sim,26.451,http://ditel.casacivil.ro.gov.br/COTEL/Livros/Files/D26451%20-%20COMPILADO.pdf
Estado,Mato Grosso,Sim,1.427,https://app1.sefaz.mt.gov.br/Sistema/Legislacao/legislacaotribut.nsf/709f9c981a9d9f468425671300482be0/f3c544a8520371b903258c81004dd71d?OpenDocument
Estado,Paraíba,Sim,41.238,https://auniao.pb.gov.br/servicos/doe/2021/maio/diario-oficial-08-05-2021.pdf
Estado,Alagoas,Sim,91.229,https://imprensaoficial.al.gov.br/storage/files/2024/07/LGPD_01-Decreto_91229.pdf
Estado,Pernambuco,Sim,49.265,https://legis.alepe.pe.gov.br/texto.aspx?id=51399&tipo=
Estado,Goiás,Sim,10092,https://legisla.casacivil.go.gov.br/pesquisa_legislacao/105643/decreto-10092
Estado,Espírito Santo,Sim,4922,https://sedu.es.gov.br/Media/sedu/pdf%20e%20Arquivos/4922-R-Institui%20a%20Pol%C3%ADtica%20Estadual%20de%20Prote%C3%A7%C3%A3o%20de%20Dados%20Pessoais.pdf
Estado,Tocantins,Sim,6.547,https://servicos.casacivil.to.gov.br/decretos/decreto/6547
Estado,Rio Grande do Sul,Sim,55.987,https://sincage.sefaz.rs.gov.br/documento-completo/127dc956-5708-4f40-a4cd-8e88a34bcfca
Estado,Rio Grande do Norte,Sim,32.815,https://wp.sistemas.cotic.rn.gov.br/download-file?filePath=%2Fremote.php%2Fdav%2Ffiles%2Fgovernodorn%2FLGPD-GOVRN%2FLegisla%25c3%25a7%25c3%25a3o%2FDecreto%2520Estadual%2520n%25c2%25ba%252032.815_2023%2520(Regulamenta%2520a%2520LGPD%2520no%2520RN).pdf
Estado,São Paulo,Sim,65.347,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2020/decreto-65347-09.12.2020.html
Estado,Minas Gerais,Sim,48.237,https://www.almg.gov.br/legislacao-mineira/texto/DEC/48237/2021/?cons=1
Estado,Piauí,Sim,23.003,https://www.etipi.com.br/wp-content/uploads/2024/05/DECRETO-No-23.003-estadual.pdf
Estado,Paraná,Sim,6474,https://www.legislacao.pr.gov.br/legislacao/pesquisarAto.do?action=exibir&codAto=244066&codTipoAto=&tipoVisualizacao=alterado
Estado,Mato Grosso do Sul,Sim,15.572,https://www.lgpd.ms.gov.br/wp-content/uploads/2021/08/DECRETO-ESTADUAL-No-15-572-2020.pdf
Estado,Rio de Janeiro,Sim,48.891,https://www.rj.gov.br/transparencia/sites/default/files/arquivos_paginas/Decreto%20Estadual%20n%C2%B0%2048.891%20Pol%C3%ADtica%20de%20Governan%C3%A7a.pdf
Estado,Santa Catarina,Sim,1.184,https://www.sap.sc.gov.br/download/01_decreto-no-1-184-de-01-de-marco-de-2021/
Estado,Ceará,Sim,18.699,https://www2.al.ce.gov.br/legislativo/legislacao5/leis2024/18699.htm
